seed,label_noise,feature_noise,macro_f1,alpha_opt
20260634,0.1,gaussian,0.7860018052743285,0.6
20260634,0.1,heavy_tailed,0.7913954358398803,0.65
20260634,0.2,none,0.6850076827394453,0.45
20260634,0.2,gaussian,0.709212147568312,0.45
20260634,0.2,heavy_tailed,0.6201914251999475,0.95
20260635,0.0,none,1.0,0.0
20260635,0.0,gaussian,0.9605617545209697,0.7
20260635,0.0,heavy_tailed,0.9144344324682658,0.65
20260635,0.05,none,0.9345621437560145,0.75
20260635,0.05,gaussian,0.8524504302282079,0.75
20260635,0.05,heavy_tailed,0.7771439811172305,0.65
20260635,0.1,none,0.8363926576217079,0.25
20260635,0.1,gaussian,0.8856720254116051,0.05
20260635,0.1,heavy_tailed,0.8178571428571428,0.65
20260635,0.2,none,0.7146990740740742,0.15
20260635,0.2,gaussian,0.6800167311513123,0.7
20260635,0.2,heavy_tailed,0.7275045537340619,0.2
20260636,0.0,none,1.0,0.0
20260636,0.0,gaussian,0.9750759878419453,0.75
20260636,0.0,heavy_tailed,0.9700467562828756,0.65
20260636,0.05,none,0.92015503875969,0.45
20260636,0.05,gaussian,0.8946634368347648,0.7
20260636,0.05,heavy_tailed,0.8607167004732927,0.2
20260636,0.1,none,0.8338260537860004,0.55
20260636,0.1,gaussian,0.8191176470588235,0.65
20260636,0.1,heavy_tailed,0.7737903225806452,0.6
20260636,0.2,none,0.7362731152204837,0.55
20260636,0.2,gaussian,0.643562340966921,0.65
20260636,0.2,heavy_tailed,0.5804686541528646,0.2
